iter	RMSE
0	12203.15206
1	11926.24392
2	11683.56804
3	11424.45443
4	11164.96866
5	10915.22699
6	10677.1296
7	10458.32975
8	10246.33523
9	10024.87508
10	9818.19169
11	9631.247019
12	9440.206573
13	9272.440277
14	9091.334183
15	8909.326354
16	8749.827802
17	8578.298099
18	8434.282562
19	8277.722662
20	8136.816858
21	7996.798209
22	7858.595367
23	7721.460119
24	7589.724999
25	7460.337723
26	7333.561276
27	7227.094362
28	7111.566794
29	7008.824946
30	6906.479836
31	6799.615644
32	6695.591275
33	6596.55945
34	6500.806337
35	6405.695098
36	6327.584024
37	6237.557208
38	6158.999615
39	6077.947637
40	5999.314287
41	5927.845664
42	5855.762168
43	5787.157296
44	5720.617849
45	5653.429264
46	5588.087031
47	5525.886732
48	5465.720413
49	5412.506578
50	5358.111079
51	5309.324518
52	5258.904321
53	5211.33219
54	5165.342315
55	5131.739635
56	5089.389271
57	5051.623085
58	5011.099406
59	4977.594403
60	4946.111793
61	4908.337426
62	4870.906369
63	4836.77052
64	4804.698607
65	4774.271736
66	4747.224911
67	4718.972836
68	4694.912203
69	4675.134859
70	4648.122035
71	4627.528323
72	4605.18991
73	4584.463822
74	4566.298565
75	4548.512458
76	4530.370169
77	4513.744368
78	4495.45194
79	4475.55444
80	4463.113277
81	4445.715285
82	4426.728394
83	4414.021249
84	4399.449818
85	4387.643327
86	4374.280614
87	4364.417823
88	4349.289955
89	4338.525553
90	4327.766459
91	4314.902664
92	4304.101354
93	4295.861896
94	4284.431991
95	4273.346189
96	4258.815832
97	4248.044731
98	4239.61307
99	4228.050084
100	4219.716487
101	4213.171129
102	4204.187187
103	4196.02005
104	4188.863514
105	4179.59634
106	4170.951634
107	4163.832294
108	4157.626797
109	4150.984951
110	4145.679769
111	4141.383674
112	4134.252865
113	4127.866969
114	4123.898026
115	4117.586816
116	4113.016791
117	4108.056253
118	4101.044994
119	4095.862067
120	4088.440381
121	4082.53601
122	4078.866246
123	4073.473214
124	4069.012441
125	4063.639418
126	4058.399306
127	4053.311662
128	4047.840825
129	4045.318366
130	4040.980575
131	4035.650755
132	4031.665498
133	4026.485882
134	4022.475073
135	4018.736782
136	4014.397064
137	4009.380008
138	4005.582418
139	4000.771407
140	3995.470362
141	3989.376856
142	3986.243618
143	3982.654377
144	3978.934323
145	3971.424917
146	3966.927943
147	3962.879254
148	3958.461281
149	3955.666343
150	3951.856046
151	3946.341012
152	3943.277752
153	3940.300065
154	3938.76692
155	3932.996735
156	3929.757563
157	3927.465585
158	3923.782805
159	3919.407955
160	3915.205211
161	3913.064573
162	3909.398081
163	3907.053054
164	3903.65852
165	3899.824927
166	3897.212903
167	3895.39391
168	3891.432745
169	3888.389052
170	3885.55338
171	3883.49299
172	3879.378965
173	3877.599868
174	3873.102299
175	3868.341799
176	3865.527209
177	3863.237153
178	3860.313545
179	3858.399169
180	3855.521817
181	3853.704598
182	3848.637749
183	3847.138382
184	3841.672793
185	3838.651518
186	3836.16227
187	3834.741978
188	3831.470437
189	3828.776622
190	3825.09512
191	3820.854076
192	3816.157903
193	3814.206934
194	3809.707456
195	3807.439901
196	3803.250107
197	3799.815565
198	3796.563641
199	3794.894311
200	3789.799862
201	3787.870107
202	3784.464796
203	3782.424331
204	3779.406931
205	3777.014777
206	3773.079857
207	3770.095979
208	3766.396603
209	3762.635172
210	3759.976658
211	3756.155915
212	3752.296597
213	3749.609575
214	3747.47748
215	3745.573556
216	3743.039301
217	3738.585315
218	3736.608976
219	3734.421295
220	3730.416623
221	3728.23446
222	3725.549941
223	3721.336842
224	3717.644316
225	3713.771687
226	3711.357966
227	3707.980027
228	3704.473492
229	3702.242303
230	3698.789647
231	3696.440389
232	3693.185029
233	3691.575744
234	3689.025262
235	3687.004913
236	3684.416267
237	3683.562316
238	3680.861284
239	3677.785658
240	3674.339991
241	3668.474666
242	3666.141246
243	3662.944235
244	3661.128461
245	3659.404524
246	3654.452278
247	3650.6458
248	3647.039348
249	3641.674661
250	3638.343468
251	3636.342839
252	3633.372125
253	3629.070496
254	3624.826002
255	3621.813706
256	3620.263483
257	3617.216718
258	3616.269211
259	3614.917694
260	3613.100344
261	3611.560112
262	3610.619703
263	3606.07157
264	3602.903413
265	3601.475901
266	3599.753446
267	3596.747264
268	3591.272121
269	3586.599373
270	3584.666088
271	3581.595585
272	3578.044509
273	3575.17743
274	3572.585082
275	3567.58585
276	3566.444144
277	3562.830433
278	3561.753826
279	3558.529565
280	3553.49881
281	3551.7128
282	3546.479381
283	3545.056318
284	3538.69534
285	3535.906362
286	3531.062618
287	3529.809585
288	3522.908571
289	3522.022474
290	3516.517039
291	3515.147282
292	3511.813929
293	3510.100882
294	3508.873786
295	3503.743238
296	3499.257407
297	3493.175349
298	3492.470136
299	3488.613161
300	3485.673615
301	3483.393626
302	3482.323152
303	3480.518872
304	3477.322531
305	3475.907689
306	3475.167932
307	3473.147428
308	3469.015834
309	3465.827301
310	3464.163969
311	3459.712152
312	3458.537517
313	3453.716068
314	3451.506943
315	3448.016404
316	3445.08445
317	3439.433639
318	3436.758302
319	3433.119899
320	3430.163422
321	3428.776426
322	3427.308266
323	3426.311252
324	3425.519857
325	3421.032304
326	3420.018675
327	3414.773423
328	3413.981173
329	3408.194859
330	3406.375933
331	3402.575503
332	3399.825392
333	3394.403277
334	3393.737908
335	3390.11912
336	3386.897214
337	3381.632929
338	3376.803167
339	3374.941607
340	3371.893293
341	3370.321018
342	3368.954558
343	3365.346566
344	3361.479778
345	3357.286155
346	3355.978296
347	3350.96715
348	3350.210953
349	3347.687726
350	3344.185893
351	3342.531063
352	3341.167119
353	3340.155398
354	3336.251145
355	3334.478126
356	3330.623961
357	3328.562849
358	3325.616177
359	3322.242059
360	3321.562419
361	3316.642274
362	3311.683273
363	3309.225394
364	3306.392556
365	3305.731773
366	3302.85153
367	3302.222676
368	3300.133919
369	3298.522872
370	3295.268913
371	3293.368027
372	3291.456076
373	3288.500932
374	3286.910225
375	3285.282923
376	3283.969844
377	3282.16192
378	3277.511524
379	3272.853616
380	3269.575192
381	3268.117281
382	3263.883071
383	3259.100953
384	3256.958023
385	3254.990614
386	3254.01841
387	3252.425935
388	3248.744838
389	3247.015261
390	3245.325692
391	3243.771763
392	3240.031324
393	3237.28259
394	3235.729294
395	3230.880602
396	3229.687193
397	3226.732328
398	3225.197165
399	3223.200325
400	3221.694206
401	3220.450431
402	3218.952257
403	3217.785634
404	3215.282845
405	3210.960627
406	3210.478285
407	3207.971869
408	3204.416808
409	3201.919224
410	3197.504578
411	3193.251759
412	3190.521813
413	3189.04815
414	3187.815019
415	3187.32125
416	3183.165053
417	3179.037671
418	3177.717299
419	3177.015369
420	3174.256111
421	3173.148549
422	3171.989591
423	3167.858399
424	3166.454897
425	3163.11039
426	3159.338942
427	3155.251681
428	3153.983339
429	3153.311147
430	3150.360667
431	3149.908865
432	3148.094771
433	3144.625098
434	3143.222079
435	3142.088345
436	3141.033653
437	3139.663958
438	3137.816625
439	3136.521994
440	3132.003398
441	3130.208503
442	3127.771843
443	3124.659922
444	3121.757296
445	3117.850939
446	3114.002787
447	3111.750719
448	3110.387725
449	3109.363775
450	3108.000797
451	3105.172521
452	3101.922666
453	3098.770685
454	3097.500445
455	3096.345108
456	3091.999613
457	3089.445193
458	3086.258493
459	3085.612005
460	3081.994763
461	3077.766074
462	3075.154068
463	3071.427997
464	3066.942325
465	3062.927985
466	3059.557504
467	3057.0588
468	3052.827862
469	3051.804414
470	3050.482974
471	3049.202783
472	3046.384207
473	3045.277873
474	3044.184126
475	3043.543342
476	3041.502019
477	3038.159201
478	3035.718338
479	3033.765589
480	3029.759651
481	3025.701142
482	3022.301421
483	3020.420926
484	3017.331956
485	3015.512913
486	3012.219902
487	3011.601724
488	3010.255666
489	3008.541533
490	3004.273792
491	3001.229175
492	2999.804519
493	2997.475548
494	2995.199868
495	2992.753403
496	2991.218139
497	2990.061287
498	2987.54341
499	2986.931839
500	2984.25515
501	2982.420755
502	2981.212452
503	2979.694557
504	2978.570679
505	2975.895947
506	2975.013517
507	2970.959805
508	2969.45347
509	2968.128606
510	2966.337241
511	2964.457097
512	2962.331877
513	2959.478399
514	2957.151183
515	2953.763928
516	2952.864227
517	2952.304757
518	2948.685713
519	2948.13148
520	2947.149534
521	2946.536497
522	2942.964554
523	2940.616533
524	2939.648567
525	2936.724045
526	2935.412992
527	2932.558213
528	2929.203924
529	2928.734377
530	2927.647917
531	2924.433422
532	2923.375586
533	2922.149167
534	2921.706947
535	2920.678914
536	2919.480638
537	2918.505547
538	2917.148543
539	2914.483921
540	2913.563458
541	2910.761409
542	2907.100729
543	2904.435524
544	2902.913696
545	2899.910394
546	2896.134373
547	2895.684809
548	2894.518463
549	2893.366854
550	2892.273701
551	2891.750211
552	2890.525049
553	2888.64152
554	2886.981604
555	2884.498282
556	2880.914721
557	2878.655087
558	2878.001858
559	2876.375966
560	2873.173504
561	2872.401528
562	2871.864834
563	2868.81768
564	2867.698881
565	2866.955194
566	2865.396844
567	2862.832446
568	2860.045257
569	2858.022752
570	2855.535067
571	2854.301511
572	2852.926973
573	2850.211609
574	2849.005883
575	2848.127745
576	2845.814037
577	2842.424607
578	2839.433297
579	2837.324305
580	2836.295958
581	2832.446169
582	2830.33828
583	2829.271114
584	2826.36013
585	2825.938651
