iter	Passed	Remaining
0	3	3791
1	7	3654
2	10	3374
3	13	3295
4	16	3215
5	18	3119
6	23	3279
7	27	3348
8	30	3385
9	34	3458
10	38	3483
11	42	3524
12	46	3553
13	50	3555
14	53	3541
15	56	3491
16	59	3444
17	62	3410
18	65	3388
19	68	3348
20	71	3322
21	76	3422
22	79	3386
23	82	3365
24	85	3345
25	89	3347
26	93	3358
27	96	3367
28	100	3367
29	104	3365
30	107	3357
31	110	3351
32	114	3345
33	117	3335
34	120	3314
35	123	3306
36	126	3299
37	129	3279
38	132	3261
39	135	3242
40	138	3230
41	141	3218
42	143	3198
43	146	3182
44	149	3167
45	152	3161
46	155	3147
47	157	3133
48	161	3130
49	164	3123
50	167	3112
51	172	3140
52	175	3134
53	178	3121
54	181	3111
55	183	3100
56	186	3092
57	189	3081
58	192	3071
59	195	3062
60	198	3053
61	201	3046
62	204	3038
63	206	3027
64	210	3021
65	212	3011
66	215	3001
67	218	2991
68	221	2988
69	224	2980
70	227	2982
71	230	2975
72	233	2971
73	236	2961
74	239	2956
75	242	2947
76	245	2943
77	248	2934
78	251	2929
79	254	2921
80	256	2915
81	259	2909
82	262	2903
83	265	2894
84	268	2891
85	271	2885
86	274	2879
87	277	2870
88	280	2868
89	283	2862
90	285	2856
91	288	2851
92	291	2845
93	294	2839
94	297	2831
95	300	2826
96	303	2820
97	305	2816
98	308	2812
99	311	2806
100	314	2799
101	317	2795
102	320	2792
103	323	2786
104	326	2779
105	329	2778
106	332	2773
107	335	2767
108	337	2762
109	340	2758
110	343	2752
111	346	2745
112	349	2742
113	352	2740
114	355	2733
115	358	2729
116	359	2709
117	362	2706
118	364	2700
119	367	2696
120	370	2691
121	373	2688
122	376	2682
123	379	2679
124	382	2675
125	385	2670
126	388	2668
127	390	2663
128	393	2658
129	396	2652
130	399	2649
131	402	2644
132	404	2638
133	407	2635
134	410	2631
135	413	2626
136	416	2621
137	419	2617
138	422	2614
139	424	2609
140	427	2606
141	430	2602
142	433	2598
143	436	2595
144	439	2590
145	442	2586
146	445	2583
147	448	2582
148	451	2578
149	454	2574
150	457	2572
151	460	2568
152	463	2563
153	466	2560
154	469	2557
155	471	2552
156	474	2548
157	477	2545
158	480	2542
159	483	2537
160	486	2534
161	489	2529
162	491	2525
163	494	2521
164	497	2518
165	500	2514
166	503	2511
167	506	2508
168	509	2504
169	512	2499
170	514	2496
171	517	2493
172	520	2488
173	523	2484
174	526	2482
175	529	2479
176	532	2475
177	535	2471
178	537	2467
179	540	2463
180	543	2460
181	546	2458
182	549	2454
183	552	2452
184	555	2448
185	558	2444
186	561	2440
187	564	2439
188	567	2437
189	570	2432
190	573	2429
191	576	2426
192	579	2421
193	581	2417
194	584	2414
195	588	2412
196	590	2407
197	593	2404
198	596	2400
199	599	2398
200	602	2394
201	605	2391
202	607	2386
203	611	2384
204	614	2381
205	616	2377
206	619	2373
207	623	2372
208	625	2368
209	628	2364
210	631	2359
211	634	2357
212	637	2354
213	639	2350
214	642	2346
215	645	2343
216	648	2339
217	651	2335
218	654	2332
219	657	2329
220	659	2325
221	662	2322
222	665	2318
223	668	2315
224	671	2311
225	674	2308
226	677	2305
227	679	2301
228	682	2299
229	685	2295
230	688	2291
231	691	2287
232	694	2285
233	697	2281
234	699	2278
235	702	2275
236	705	2271
237	708	2268
238	711	2264
239	714	2261
240	716	2258
241	719	2254
242	722	2252
243	725	2248
244	728	2245
245	731	2241
246	734	2238
247	737	2235
248	740	2233
249	743	2230
250	746	2227
251	749	2223
252	752	2220
253	754	2217
254	757	2214
255	760	2210
256	763	2207
257	766	2204
258	768	2198
259	771	2196
260	774	2192
261	777	2189
262	780	2186
263	783	2182
264	785	2179
265	788	2175
266	791	2173
267	794	2169
268	797	2166
269	800	2164
270	803	2160
271	805	2156
272	808	2154
273	811	2151
274	814	2147
275	817	2144
276	820	2141
277	823	2137
278	825	2133
279	828	2130
280	831	2127
281	834	2124
282	837	2121
283	840	2118
284	843	2115
285	845	2111
286	848	2109
287	851	2105
288	854	2102
289	857	2099
290	860	2096
291	864	2095
292	867	2092
293	870	2089
294	872	2086
295	875	2082
296	879	2080
297	882	2077
298	884	2074
299	887	2071
300	890	2068
301	893	2065
302	897	2065
303	901	2063
304	905	2062
305	908	2061
306	912	2059
